Model,EOSL Date,Source URL,Vendor
CR 220S,2020-10-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
NAS Platform (HNAS) 3080 G1,2020-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
NAS Platform (HNAS) 3090 G1,2020-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
NAS Platform (HNAS) 3080 G2,2020-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
NAS Platform (HNAS) 3090 G2,2020-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Compute Blade 520X B1 Blade (with CNA),2021-01-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Compute Blade 520H B2 Blade (with CNA),2021-01-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
NAS Platform System Management Unit (HNAS SMU) 400,2021-03-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
HNAS SMU 400,2021-03-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Unified Storage VM (HUS VM) HM700,2021-06-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Unified Storage DF850S,2021-06-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Unified Storage DF850MH,2021-06-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Unified Storage 110,2021-06-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Unified Storage 130,2021-06-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Unified Storage 150,2021-06-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Unified Storage VM,2021-06-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Compute Blade 520H B3,2022-05-28,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Compute Blade 520X B2,2022-05-28,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) G1000,2022-06-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
NAS Platform 4040 (HNAS 4040),2022-06-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Compute Blade 500 (CB 500),2022-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Compute Blade 2500 (CB 2500),2022-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Compute Blade 520X B3,2022-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Compute Blade 520H B4,2022-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) G200,2024-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) G400,2024-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) G600,2024-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) G800,2024-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) F400,2024-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) F600,2024-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) F800,2024-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) Fx00 HM800,2024-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) Gx00 HM800,2024-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) F1500,2025-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) G1500,2025-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) N400,2025-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) N600,2025-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) N800,2025-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) Nx00 HM800,2025-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) Nxxx NAS Modules,2025-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
NAS Platform 4060/4080 (HNAS 4060/4080),2026-12-06,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
NAS Platform 4100 (HNAS 4100),2026-12-06,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) 5100,2027-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) 5100H,2027-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) 5500,2027-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) 5500H,2027-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) 5×00 RAID 900,2027-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) E990,2027-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) F370,2027-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) G370,2027-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) F700,2027-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) G700,2027-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) F900,2027-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) G900,2027-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Virtual Storage Platform (VSP) F/Gxx0 HM850,2027-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
