Product,Announcement,End-of-Sale Date,End-of-Support Date,Source URL,Vendor
GR10 (UK),2022-10-21,2023-04-24,2025-04-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GR10 (EU),2022-10-21,2023-04-24,2025-04-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GR10 (US),2022-10-21,2023-04-24,2025-04-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GR60 (UK),2022-10-21,2023-04-24,2025-04-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GR60 (EU),2022-10-21,2023-04-24,2025-04-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GR60 (US),2022-10-21,2023-04-24,2025-04-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR42,2021-01-27,2022-07-14,2026-07-21,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR33,2021-01-27,2022-07-14,2026-07-21,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR30H,2022-03-25,2022-05-31,2027-07-26,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR42E,2022-04-22,2022-04-22,2026-07-21,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR55,2022-02-15,2022-04-07,2028-08-31,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR53E,2022-02-15,2022-04-07,2026-07-21,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR52,2022-02-15,2022-04-07,2026-07-21,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
"MX64, MX64W",2022-01-26,2022-07-26,2027-07-26,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
"MA-INJ-4-XX (AU, CN, EU, UK, US)",2021-10-29,2021-11-30,2022-11-30,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MS390 4x10GE Module (MA-MOD-4x10),2021-08-30,2021-11-30,TBD,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MX100,2021-08-10,2022-02-28,2027-02-28,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MX84,2021-08-10,2021-10-31,2026-10-31,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MA-INJ-5,2021-06-30,2021-06-29,N/A,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR84,2021-05-03,2021-05-07,2026-07-21,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR74,2021-01-27,2021-07-21,2026-07-21,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR53,2021-05-03,2021-05-07,2026-07-21,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR45,2021-01-27,2021-07-21,2026-07-21,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
vMX100,2020-09-29,2020-12-22,2027-12-22,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MV21 & MV71,2019-03-19,2019-06-19,2026-06-19,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MX65,2018-11-20,2019-05-28,2026-05-28,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MC74,2018-09-27,2018-10-31,2019-04-30,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
Z1,2018-04-27,2018-07-27,2025-07-27,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MX600,2018-02-28,2018-05-20,2025-05-20,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MX400,2018-02-28,2018-05-20,2025-05-20,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MS220-8,2018-01-09,2018-07-28,2025-07-28,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
ANT-10,2017-09-06,2017-09-11,2024-09-11,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR62,2017-08-15,2017-11-15,2024-11-15,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR66,2017-06-07,2017-06-09,2024-06-09,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MS220 series,2017-03-16,2017-07-29,2024-07-29,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR72,2017-03-07,2017-04-30,2024-04-30,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR32,2017-01-18,2017-04-30,2024-07-31,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MS320 series,2016-12-08,2017-03-31,2024-03-31,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR18,2016-12-08,2017-02-13,2024-03-31,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MS420,2016-08-31,2016-10-31,2023-10-31,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
