Version,Release Date,End-of-Life Date,GlobalProtect App version,End-of-Engineering Date,End-of-Sale Product,End-of-Sale Date,Resources,Last Supported OS,Platform,End-of-Support Date, ,Product,Source URL,Vendor
4.2,"June 25, 2018","March 1, 2022*",,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
4.1,"September 15th, 2017",2019-09-15,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
4.0,"April 5th, 2017",2018-04-05,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
3.4,"August 21, 2016",2019-08-21,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
3.3,"November 10th, 2015",2017-02-28,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
3.2,"March 31st, 2015",2016-03-31,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
3.1,"September 3rd, 2014",2015-09-03,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
 ,,,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
,05/23/2023,2025-05-23,6.2,05/23/2025,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
,09/01/2022,2024-09-30,6.1,09/01/2024,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
,02/22/2022,2025-02-22,6.0,02/22/2025,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
,06/01/2021,2023-06-30,5.3,12/01/2022,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
,07/30/2020,2024-02-28,5.2,08/31/2023,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
,12/12/2019,12/31/2023*,5.1,03/12/2021,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
,2/12/2019,2021-02-12,5.0,5/12/2020,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
,3/1/2018,2020-03-31,4.1,6/1/2019,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
,1/30/2017,2019-01-30,4.0,5/2/2018,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
,6/23/2016,2018-06-23,3.1,9/23/2017,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
,2/16/2016,2018-02-15,3.0,5/18/2017,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
22.06,"June 9, 2022",2023-08-20,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
22.01,"January 10, 2022",2023-04-23,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
21.08,"September 08, 2021",2022-12-04,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
21.04,"April 26, 2021",2022-06-09,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
20.12,"December 21, 2020",2021-09-08,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
20.09,"September 22, 2020",2021-04-26,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
20.04,"April 07, 2020",2020-12-21,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
19.11,"November 20, 2019",2020-09-22,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
